axis,drop_rate_ci,drop_rate_mean,drop_rate_sd,effect_drop,effect_p95,effect_throughput,effect_trips,files,p95_s_ci,p95_s_mean,p95_s_sd,point,repeats,stage,stuck_fraction_ci,stuck_fraction_mean,stuck_fraction_sd,success_ci,success_mean,success_sd,throughput_per_min_ci,throughput_per_min_mean,throughput_per_min_sd,trips_per_arm_hour_ci,trips_per_arm_hour_mean,trips_per_arm_hour_sd,value
action_deadband_rad,[NaN;NaN],0.004278813023120165,nan,{"delta":-4.596356302499771e-05;"rel":-0.010627962418277606;"mean_ref":0.004324776586145163;"mean":0.004278813023120165;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.0;"rel":0.0;"mean_ref":1.4599992036819458;"mean":1.4599992036819458;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-0.146484375;"rel":-0.0025983024424042957;"mean_ref":56.376953125;"mean":56.23046875;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.5859375;"rel":0.5;"mean_ref":1.171875;"mean":1.7578125;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["action_deadband_rad__0p002__r0.json"],[NaN;NaN],1.4599992036819458,nan,action_deadband_rad__0p002,1,s1,[NaN;NaN],0.008209635503590107,nan,[NaN;NaN],0.9993053078651428,nan,[NaN;NaN],56.23046875,nan,[NaN;NaN],1.7578125,nan,0.002
action_deadband_rad,[NaN;NaN],0.005581914447247982,nan,{"delta":0.0012571378611028194;"rel":0.29068272916806415;"mean_ref":0.004324776586145163;"mean":0.005581914447247982;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.039999961853027344;"rel":0.027397249089007827;"mean_ref":1.4599992036819458;"mean":1.4999991655349731;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-1.123046875;"rel":-0.0199203187250996;"mean_ref":56.376953125;"mean":55.25390625;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.0;"rel":0.0;"mean_ref":1.171875;"mean":1.171875;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["action_deadband_rad__0p005__r0.json"],[NaN;NaN],1.4999991655349731,nan,action_deadband_rad__0p005,1,s1,[NaN;NaN],0.013336587697267532,nan,[NaN;NaN],0.9984093308448792,nan,[NaN;NaN],55.25390625,nan,[NaN;NaN],1.171875,nan,0.005
action_deadband_rad,[NaN;NaN],0.005174824967980385,nan,{"delta":0.0008500483818352222;"rel":0.19655313168278657;"mean_ref":0.004324776586145163;"mean":0.005174824967980385;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.019999980926513672;"rel":0.013698624544503914;"mean_ref":1.4599992036819458;"mean":1.4799991846084595;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-0.15625;"rel":-0.002771522605231249;"mean_ref":56.376953125;"mean":56.220703125;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":2.34375;"rel":2.0;"mean_ref":1.171875;"mean":3.515625;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["action_deadband_rad__0p01__r0.json"],[NaN;NaN],1.4799991846084595,nan,action_deadband_rad__0p01,1,s1,[NaN;NaN],0.008694661781191826,nan,[NaN;NaN],0.9991316199302673,nan,[NaN;NaN],56.220703125,nan,[NaN;NaN],3.515625,nan,0.01
action_latency_steps,[NaN;NaN],0.018203072249889374,nan,{"delta":0.013878295663744211;"rel":3.2090202551051226;"mean_ref":0.004324776586145163;"mean":0.018203072249889374;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.6999994516372681;"rel":0.47945194070787983;"mean_ref":1.4599992036819458;"mean":2.159998655319214;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-15.341793060302734;"rel":-0.2721288081370172;"mean_ref":56.376953125;"mean":41.035160064697266;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":77.34375;"rel":66.0;"mean_ref":1.171875;"mean":78.515625;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["action_latency_steps__1__r0.json"],[NaN;NaN],2.159998655319214,nan,action_latency_steps__1,1,s1,[NaN;NaN],0.04170898348093033,nan,[NaN;NaN],0.9902820587158203,nan,[NaN;NaN],41.035160064697266,nan,[NaN;NaN],78.515625,nan,1.0
action_latency_steps,[NaN;NaN],0.04944412037730217,nan,{"delta":0.04511934379115701;"rel":10.432757136102975;"mean_ref":0.004324776586145163;"mean":0.04944412037730217;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":1.8999983072280884;"rel":1.3013694133781146;"mean_ref":1.4599992036819458;"mean":3.359997510910034;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-38.46679496765137;"rel":-0.6823141875433051;"mean_ref":56.376953125;"mean":17.910158157348633;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":418.9453125;"rel":357.5;"mean_ref":1.171875;"mean":420.1171875;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["action_latency_steps__2__r0.json"],[NaN;NaN],3.359997510910034,nan,action_latency_steps__2,1,s1,[NaN;NaN],0.12957030534744263,nan,[NaN;NaN],0.9301242232322693,nan,[NaN;NaN],17.910158157348633,nan,[NaN;NaN],420.1171875,nan,2.0
action_latency_steps,[NaN;NaN],0.059381239116191864,nan,{"delta":0.0550564625300467;"rel":12.730475536337616;"mean_ref":0.004324776586145163;"mean":0.059381239116191864;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":2.6149967908859253;"rel":1.7910946692924297;"mean_ref":1.4599992036819458;"mean":4.074995994567871;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-49.638671875;"rel":-0.8804780876494024;"mean_ref":56.376953125;"mean":6.73828125;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":853.7109375;"rel":728.5;"mean_ref":1.171875;"mean":854.8828125;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["action_latency_steps__3__r0.json"],[NaN;NaN],4.074995994567871,nan,action_latency_steps__3,1,s1,[NaN;NaN],0.10206054896116257,nan,[NaN;NaN],0.7917675375938416,nan,[NaN;NaN],6.73828125,nan,[NaN;NaN],854.8828125,nan,3.0
action_latency_steps,[NaN;NaN],0.035747021436691284,nan,{"delta":0.03142224485054612;"rel":7.265634241364121;"mean_ref":0.004324776586145163;"mean":0.035747021436691284;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":2.8579972982406616;"rel":1.957533463739658;"mean_ref":1.4599992036819458;"mean":4.317996501922607;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-53.96484375;"rel":-0.9572146197817426;"mean_ref":56.376953125;"mean":2.412109375;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":1268.5548095703125;"rel":1082.5001041666667;"mean_ref":1.171875;"mean":1269.7266845703125;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["action_latency_steps__4__r0.json"],[NaN;NaN],4.317996501922607,nan,action_latency_steps__4,1,s1,[NaN;NaN],0.06796874850988388,nan,[NaN;NaN],0.6010362505912781,nan,[NaN;NaN],2.412109375,nan,[NaN;NaN],1269.7266845703125,nan,4.0
cam_pitch_deg,[NaN;NaN],0.07482431083917618,nan,{"delta":0.07049953425303102;"rel":16.301312414352928;"mean_ref":0.004324776586145163;"mean":0.07482431083917618;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":3.6389960050582886;"rel":2.4924643766114185;"mean_ref":1.4599992036819458;"mean":5.098995208740234;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-42.490234375;"rel":-0.7536809284600727;"mean_ref":56.376953125;"mean":13.88671875;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":19.921875;"rel":17.0;"mean_ref":1.171875;"mean":21.09375;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["cam_pitch_deg__m4__r0.json"],[NaN;NaN],5.098995208740234,nan,cam_pitch_deg__m4,1,s1,[NaN;NaN],0.4043847918510437,nan,[NaN;NaN],0.8970487117767334,nan,[NaN;NaN],13.88671875,nan,[NaN;NaN],21.09375,nan,-4.0
cam_pitch_deg,[NaN;NaN],0.010719976387917995,nan,{"delta":0.006395199801772833;"rel":1.4787352998211445;"mean_ref":0.004324776586145163;"mean":0.010719976387917995;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.3599996566772461;"rel":0.24657524180107046;"mean_ref":1.4599992036819458;"mean":1.819998860359192;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-5.117183685302734;"rel":-0.0907672976571973;"mean_ref":56.376953125;"mean":51.259769439697266;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":8.203125;"rel":7.0;"mean_ref":1.171875;"mean":9.375;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["cam_pitch_deg__m1p5__r0.json"],[NaN;NaN],1.819998860359192,nan,cam_pitch_deg__m1p5,1,s1,[NaN;NaN],0.035403646528720856,nan,[NaN;NaN],0.9960022568702698,nan,[NaN;NaN],51.259769439697266,nan,[NaN;NaN],9.375,nan,-1.5
cam_pitch_deg,[NaN;NaN],0.004036326892673969,nan,{"delta":-0.0002884496934711933;"rel":-0.06669701607136647;"mean_ref":0.004324776586145163;"mean":0.004036326892673969;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.039999961853027344;"rel":0.027397249089007827;"mean_ref":1.4599992036819458;"mean":1.4999991655349731;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-1.6601524353027344;"rel":-0.029447360016455915;"mean_ref":56.376953125;"mean":54.716800689697266;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.0;"rel":0.0;"mean_ref":1.171875;"mean":1.171875;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["cam_pitch_deg__1p5__r0.json"],[NaN;NaN],1.4999991655349731,nan,cam_pitch_deg__1p5,1,s1,[NaN;NaN],0.004456380382180214,nan,[NaN;NaN],0.9985721707344055,nan,[NaN;NaN],54.716800689697266,nan,[NaN;NaN],1.171875,nan,1.5
