axis,drop_rate_ci,drop_rate_mean,drop_rate_sd,effect_drop,effect_p95,effect_throughput,effect_trips,files,p95_s_ci,p95_s_mean,p95_s_sd,point,repeats,stage,stuck_fraction_ci,stuck_fraction_mean,stuck_fraction_sd,success_ci,success_mean,success_sd,throughput_per_min_ci,throughput_per_min_mean,throughput_per_min_sd,trips_per_arm_hour_ci,trips_per_arm_hour_mean,trips_per_arm_hour_sd,value
action_latency_steps,[0.015745067994620936;0.020449163366529806],0.01809711568057537,0.0009467501961184966,{"delta":0.012754008484383423;"rel":2.3870021723451953;"mean_ref":0.005343107196191947;"mean":0.01809711568057537;"n_ref":3;"n":3;"se":0.0005685380989771818;"lo":0.01030758904448461;"hi":0.015200427924282237;"df":2;"cohens_d":18.316458192259553;"separated":true},{"delta":0.6799994707107544;"rel":0.46363625649572454;"mean_ref":1.4666658639907837;"mean":2.146665334701538;"n_ref":3;"n":3;"se":0.018856162848985905;"lo":0.598861401971568;"hi":0.7611375394499408;"df":2;"cohens_d":29.444868890589493;"separated":true},{"delta":-15.083820343017578;"rel":-0.2700123536398237;"mean_ref":55.86344528198242;"mean":40.779624938964844;"n_ref":3;"n":3;"se":0.2642296926624851;"lo":-15.924599225069606;"hi":-14.24304146096555;"df":3;"cohens_d":-46.610536512009965;"separated":true},{"delta":67.08984613418579;"rel":29.234041567345304;"mean_ref":2.2949220339457193;"mean":69.38476816813152;"n_ref":3;"n":3;"se":0.36539843283093154;"lo":65.51753667771429;"hi":68.66215559065729;"df":2;"cohens_d":149.91479180447328;"separated":true},["action_latency_steps__1__r0.json";"action_latency_steps__1__r1.json";"action_latency_steps__1__r2.json"],[2.070767621139901;2.2225630482631753],2.146665334701538,0.030550475497807313,action_latency_steps__1,3,s2,[0.05171878876104725;0.08324865756616223],0.06748372316360474,0.006345727948691628,[0.9865079273152683;0.9925710410507188],0.9895394841829935,0.0012202673764663194,[39.94393409078803;41.61531578714166],40.779624938964844,0.3363836877672744,[67.91400605355565;70.85553028270738],69.38476816813152,0.5920136435725848,1.0
action_latency_steps,[0.0431939418719754;0.05188674920732326],0.04754034553964933,0.0017495217249860473,{"delta":0.042197238343457386;"rel":7.897509219641245;"mean_ref":0.005343107196191947;"mean":0.04754034553964933;"n_ref":3;"n":3;"se":0.001022121493481981;"lo":0.03779904955700442;"hi":0.04659542712991035;"df":2;"cohens_d":33.70822456208596;"separated":true},{"delta":1.927996357282003;"rel":1.3145436902962637;"mean_ref":1.4666658639907837;"mean":3.3946622212727866;"n_ref":3;"n":3;"se":0.009976844146049664;"lo":1.896250039209273;"hi":1.959742675354733;"df":3;"cohens_d":157.78560942892668;"separated":true},{"delta":-38.82405726114909;"rel":-0.6949814331210069;"mean_ref":55.86344528198242;"mean":17.039388020833332;"n_ref":3;"n":3;"se":0.2639748339875377;"lo":-39.66402518289744;"hi":-37.98408933940075;"df":3;"cohens_d":-120.08610643909729;"separated":true},{"delta":376.3183795611063;"rel":163.97872084311828;"mean_ref":2.2949220339457193;"mean":378.61330159505206;"n_ref":3;"n":3;"se":5.551390309664555;"lo":352.4307470586198;"hi":400.2060120635929;"df":2;"cohens_d":55.34877807402306;"separated":true},["action_latency_steps__2__r0.json";"action_latency_steps__2__r1.json";"action_latency_steps__2__r2.json"],[3.3627233332859197;3.4266011092596536],3.3946622212727866,0.012856094987335491,action_latency_steps__2,3,s2,[0.17217174291880186;0.22694446523714804],0.19955810407797495,0.011023604220803788,[0.908640627075142;0.9255086938451663],0.9170746604601542,0.0033948813236284146,[16.20518981794524;17.873586223721425],17.039388020833332,0.3357828656715846,[354.7321380818433;402.49446510826084],378.61330159505206,9.612686160524682,2.0
action_latency_steps,[0.04532542148926507;0.056015304528686895],0.05067036300897598,0.002151454863031305,{"delta":0.04532725581278404;"rel":8.483313949809757;"mean_ref":0.005343107196191947;"mean":0.05067036300897598;"n_ref":3;"n":3;"se":0.0012519489877488889;"lo":0.03994011931850057;"hi":0.05071439230706751;"df":2;"cohens_d":29.561547440140423;"separated":true},{"delta":2.769330382347107;"rel":1.8881808395074975;"mean_ref":1.4666658639907837;"mean":4.235996246337891;"n_ref":3;"n":3;"se":0.07864279979249943;"lo":2.430930414839982;"hi":3.107730349854232;"df":2;"cohens_d":28.752139987535678;"separated":true},{"delta":-49.325359185536705;"rel":-0.8829630706906214;"mean_ref":55.86344528198242;"mean":6.53808609644572;"n_ref":3;"n":3;"se":0.1801140456082773;"lo":-50.10038992378912;"hi":-48.550328447284286;"df":2;"cohens_d":-223.60270123304528;"separated":true},{"delta":842.2851764361064;"rel":367.02125997193184;"mean_ref":2.2949220339457193;"mean":844.5800984700521;"n_ref":3;"n":3;"se":7.717782406289748;"lo":809.0755587418416;"hi":875.4947941303712;"df":2;"cohens_d":89.10888264557899;"separated":true},["action_latency_steps__3__r0.json";"action_latency_steps__3__r1.json";"action_latency_steps__3__r2.json"],[3.89881437444383;4.573178118231951],4.235996246337891,0.13572301499225964,action_latency_steps__3,3,s2,[0.1439208405349371;0.15454053708575993],0.1492306888103485,0.002137329071228107,[0.7387901366539124;0.7767015873603699],0.7577458620071411,0.007630090496424274,[6.458540620009337;6.617631572882102],6.53808609644572,0.03201877915409872,[811.3751336067974;877.7850633333069],844.5800984700521,13.365718384080106,3.0
action_latency_steps,[0.03796261771725174;0.04859109248512431],0.043276855101188026,0.0021390957825841413,{"delta":0.03793374790499608;"rel":7.0995670706422676;"mean_ref":0.005343107196191947;"mean":0.043276855101188026;"n_ref":3;"n":3;"se":0.0012448696776750851;"lo":0.03257707368196019;"hi":0.043290422128031976;"df":2;"cohens_d":24.880335686260953;"separated":true},{"delta":2.585663914680481;"rel":1.7629536339278493;"mean_ref":1.4666658639907837;"mean":4.052329778671265;"n_ref":3;"n":3;"se":0.046215710748369804;"lo":2.386797711330246;"hi":2.784530118030716;"df":2;"cohens_d":45.68112686310426;"separated":true},{"delta":-53.39762489000956;"rel":-0.9558598582753692;"mean_ref":55.86344528198242;"mean":2.46582039197286;"n_ref":3;"n":3;"se":0.17945096518549217;"lo":-54.16980239320273;"hi":-52.62544738681639;"df":2;"cohens_d":-242.95761300189898;"separated":true},{"delta":1262.4023842811584;"rel":550.0850859454589;"mean_ref":2.2949220339457193;"mean":1264.6973063151042;"n_ref":3;"n":3;"se":3.947539000001483;"lo":1245.4161239641521;"hi":1279.3886445981648;"df":2;"cohens_d":261.1113482400523;"separated":true},["action_latency_steps__4__r0.json";"action_latency_steps__4__r1.json";"action_latency_steps__4__r2.json"],[3.855543489616116;4.249116067726414],4.052329778671265,0.07921074851881309,action_latency_steps__4,3,s2,[0.09484374003974343;0.10476997517180696],0.09980685760577519,0.0019977624420879827,[0.5546433178758834;0.6039189052406735],0.5792811115582784,0.00991724621062227,[2.4220832907537972;2.5095574931919225],2.46582039197286,0.01760513164936077,[1247.7201444872878;1281.6744681429207],1264.6973063151042,6.8336757736688325,4.0
cam_yaw_deg,[0.04793961361409457;0.07806084538140662],0.0630002294977506,0.006062224472175476,{"delta":0.05765712230155865;"rel":10.790934971817729;"mean_ref":0.005343107196191947;"mean":0.0630002294977506;"n_ref":3;"n":3;"se":0.0035035190084237015;"lo":0.04258148000831147;"hi":0.07273276459480583;"df":2;"cohens_d":13.437016643028043;"separated":true},{"delta":2.6366642713546753;"rel":1.7977266234180547;"mean_ref":1.4666658639907837;"mean":4.103330135345459;"n_ref":3;"n":3;"se":0.33968907666004566;"lo":1.1749821744864988;"hi":4.098346368222852;"df":2;"cohens_d":6.337640832560227;"separated":true},{"delta":-52.851563692092896;"rel":-0.9460849295154206;"mean_ref":55.86344528198242;"mean":3.0118815898895264;"n_ref":3;"n":3;"se":0.18943831448045498;"lo":-53.6667167593023;"hi":-52.036410624883494;"df":2;"cohens_d":-227.79510665320058;"separated":true},{"delta":1.3671873410542807;"rel":0.5957445703301911;"mean_ref":2.2949220339457193;"mean":3.662109375;"n_ref":3;"n":3;"se":0.4657906215263651;"lo":-0.6371097033736683;"hi":3.37148438548223;"df":2;"cohens_d":2.3965785008732796;"separated":false},["cam_yaw_deg__m4__r0.json";"cam_yaw_deg__m4__r1.json";"cam_yaw_deg__m4__r2.json"],[2.6419295643074876;5.564730706383431],4.103330135345459,0.5882454193000085,cam_yaw_deg__m4,3,s2,[0.725848161908537;0.7428280078048012],0.7343380848566691,0.003417378084710591,[0.6111011593307125;0.708186617616309],0.6596438884735107,0.019539501095370886,[2.7470621031324276;3.276701076646625],3.0118815898895264,0.10659558584652762,[1.7364430453715838;5.587775704628417],3.662109375,0.7751224544134543,-4.0
cam_yaw_deg,[0.006569494940291729;0.008647831951627247],0.007608663445959489,0.00041828785717917404,{"delta":0.002265556249767542;"rel":0.42401474770751607;"mean_ref":0.005343107196191947;"mean":0.007608663445959489;"n_ref":3;"n":3;"se":0.00028771253453108175;"lo":0.0013500549648896398;"hi":0.003181057534645444;"df":3;"cohens_d":6.429399869037691;"separated":true},{"delta":0.3533329963684082;"rel":0.24090899300471377;"mean_ref":1.4666658639907837;"mean":1.819998860359192;"n_ref":3;"n":3;"se":0.013333320617675781;"lo":0.31090637016296385;"hi":0.39575962257385255;"df":3;"cohens_d":21.63715939458474;"separated":true},{"delta":-5.311686197916664;"rel":-0.0950833979376821;"mean_ref":55.86344528198242;"mean":50.55175908406576;"n_ref":3;"n":3;"se":0.2213853715965018;"lo":-6.016134450336733;"hi":-4.607237945496595;"df":3;"cohens_d":-19.590154436511465;"separated":true},{"delta":1.3671875794728598;"rel":0.5957446742198116;"mean_ref":2.2949220339457193;"mean":3.662109613418579;"n_ref":3;"n":3;"se":0.28471456384111943;"lo":0.14206081126452297;"hi":2.5923143476811967;"df":2;"cohens_d":3.920782867817678;"separated":true},["cam_yaw_deg__m1p5__r0.json";"cam_yaw_deg__m1p5__r1.json";"cam_yaw_deg__m1p5__r2.json"],[1.7703121435777236;1.8696855771406602],1.819998860359192,0.019999980926513672,cam_yaw_deg__m1p5,3,s2,[0.014907545550032373;0.03394065255585917],0.024424099052945774,0.003830619144781218,[0.9958519568704614;0.9967211454448055],0.9962865511576334,0.0001749336244622665,[49.992168080636155;51.11135008749536],50.55175908406576,0.22524751322298928,[2.5703588319017676;4.753860394935391],3.662109613418579,0.4394533634185791,-1.5
cam_yaw_deg,[0.005056338976403563;0.0067527185796891764],0.0059045287780463696,0.00034141478756846596,{"delta":0.0005614215818544226;"rel":0.10507398808216872;"mean_ref":0.005343107196191947;"mean":0.0059045287780463696;"n_ref":3;"n":3;"se":0.0002516179864303374;"lo":-0.00023922685096691102;"hi":0.0013620700146757562;"df":3;"cohens_d":1.8218045877657603;"separated":false},{"delta":0.1399998664855957;"rel":0.09545450666224509;"mean_ref":1.4666658639907837;"mean":1.6066657304763794;"n_ref":3;"n":3;"se":0.00942808142449295;"lo":0.11382751245120327;"hi":0.16617222051998815;"df":4;"cohens_d":12.12435565298214;"separated":true},{"delta":-3.331707000732422;"rel":-0.05964019913048567;"mean_ref":55.86344528198242;"mean":52.53173828125;"n_ref":3;"n":3;"se":0.2345323012715382;"lo":-4.077988783378457;"hi":-2.5854252180863875;"df":3;"cohens_d":-11.598945475751055;"separated":true},{"delta":2.8320312500000004;"rel":1.2340424677220145;"mean_ref":2.2949220339457193;"mean":5.12695328394572;"n_ref":3;"n":3;"se":0.21283696275540687;"lo":2.154784034512296;"hi":3.509278465487705;"df":3;"cohens_d":10.864390295603071;"separated":true},["cam_yaw_deg__1p5__r0.json";"cam_yaw_deg__1p5__r1.json";"cam_yaw_deg__1p5__r2.json"],[1.57797909116745;1.6353523697853087],1.6066657304763794,0.01154699437171005,cam_yaw_deg__1p5,3,s2,[0.021460637337030773;0.034219702198046646],0.027840169767538708,0.0025679001390130404,[0.9939882451570443;0.9974696145180453],0.9957289298375448,0.0007006633294407678,[51.88048999968278;53.18298656281722],52.53173828125,0.26214155519785076,[4.3991192321636365;5.854787335727803],5.12695328394572,0.2929689884186114,1.5
cam_yaw_deg,[0.05259836498659054;0.07863746798275709],0.06561791648467381,0.005240651797917666,{"delta":0.06027480928848187;"rel":11.280853457598598;"mean_ref":0.005343107196191947;"mean":0.06561791648467381;"n_ref":3;"n":3;"se":0.0030297305734522015;"lo":0.047237878630917045;"hi":0.07331173994604669;"df":2;"cohens_d":16.24374659956628;"separated":true},{"delta":5.652657707532247;"rel":3.854086909851041;"mean_ref":1.4666658639907837;"mean":7.11932357152303;"n_ref":3;"n":3;"se":0.10170434890277041;"lo":5.215023894203625;"hi":6.090291520860868;"df":2;"cohens_d":45.38031796228445;"separated":true},{"delta":-46.879883448282875;"rel":-0.8391871144296035;"mean_ref":55.86344528198242;"mean":8.983561833699545;"n_ref":3;"n":3;"se":0.2278301042666582;"lo":-47.60483884005938;"hi":-46.15492805650637;"df":3;"cohens_d":-168.00793149360354;"separated":true},{"delta":23.632812976837158;"rel":10.29787183497674;"mean_ref":2.2949220339457193;"mean":25.92773501078288;"n_ref":3;"n":3;"se":1.226549110458639;"lo":18.354972154533634;"hi":28.910653799140682;"df":2;"cohens_d":15.732032927794153;"separated":true},["cam_yaw_deg__4__r0.json";"cam_yaw_deg__4__r1.json";"cam_yaw_deg__4__r2.json"],[6.682630966486364;7.556016176559696],7.11932357152303,0.17577824290334987,cam_yaw_deg__4,3,s2,[0.5630369880695484;0.6038488647441723],0.5834429264068604,0.008213832669379926,[0.8107490267561692;0.8202312264634353],0.8154901266098022,0.0019083954985474507,[8.37796566303498;9.58915800436411],8.983561833699545,0.2437655906251869,[20.67925066610436;31.1762193554614],25.92773501078288,2.112628758473864,4.0
gripper_rate_scale,[0.016201456154742565;0.019766795371613178],0.01798412576317787,0.0007175631733485629,{"delta":0.012641018566985924;"rel":2.3658553165460026;"mean_ref":0.005343107196191947;"mean":0.01798412576317787;"n_ref":3;"n":3;"se":0.00044281963365890156;"lo":0.010735565683351671;"hi":0.014546471450620177;"df":2;"cohens_d":23.308244835725407;"separated":true},{"delta":4.391324241956075;"rel":2.9940863490252125;"mean_ref":1.4666658639907837;"mean":5.857990105946858;"n_ref":3;"n":3;"se":0.12842769120677686;"lo":3.838699886693314;"hi":4.943948597218835;"df":2;"cohens_d":27.91844341053586;"separated":true},{"delta":-38.00130208333333;"rel":-0.6802534625552329;"mean_ref":55.86344528198242;"mean":17.86214319864909;"n_ref":3;"n":3;"se":0.1890970753755959;"lo":-38.81498679867452;"hi":-37.18761736799214;"df":2;"cohens_d":-164.08468063408068;"separated":true},{"delta":2.8808595339457193;"rel":1.2553191312528307;"mean_ref":2.2949220339457193;"mean":5.1757815678914385;"n_ref":3;"n":3;"se":0.7963627088136943;"lo":-0.5458892020796071;"hi":6.307608269971046;"df":2;"cohens_d":2.9536942571101887;"separated":false},["gripper_rate_scale__0p35__r0.json";"gripper_rate_scale__0p35__r1.json";"gripper_rate_scale__0p35__r2.json"],[5.306110812301281;6.409869399592436],5.857990105946858,0.22214338281184381,gripper_rate_scale__0p35,3,s2,[0.28228141619437136;0.29270826028115354],0.28749483823776245,0.0020985154219039927,[0.861746545977487;0.8725309408236605],0.8671387434005737,0.002170476388851543,[17.601878614878505;18.122407782419675],17.86214319864909,0.10476213862454575,[1.7944222154100822;8.557140920372795],5.1757815678914385,1.3610704618047662,0.35
gripper_rate_scale,[0.010717773356572233;0.01592452186491545],0.013321147610743841,0.0010479145896681284,{"delta":0.007978040414551895;"rel":1.4931462389970156;"mean_ref":0.005343107196191947;"mean":0.013321147610743841;"n_ref":3;"n":3;"se":0.0006248988620448042;"lo":0.005289100611173103;"hi":0.010666980217930687;"df":2;"cohens_d":10.42415519796193;"separated":true},{"delta":1.9333316087722778;"rel":1.3181813637577282;"mean_ref":1.4666658639907837;"mean":3.3999974727630615;"n_ref":3;"n":3;"se":0.013333320617675781;"lo":1.8909049825668336;"hi":1.975758234977722;"df":3;"cohens_d":118.39201153457553;"separated":true},{"delta":-25.684406916300457;"rel":-0.4597712652102469;"mean_ref":55.86344528198242;"mean":30.179038365681965;"n_ref":3;"n":3;"se":0.1864998837567047;"lo":-26.486915916105556;"hi":-24.881897916495358;"df":2;"cohens_d":-112.4463458522764;"separated":true},{"delta":4.101562658945719;"rel":1.7872339880295607;"mean_ref":2.2949220339457193;"mean":6.3964846928914385;"n_ref":3;"n":3;"se":0.218366093395794;"lo":3.4067217497603024;"hi":4.796403568131136;"df":3;"cohens_d":15.336226588163694;"separated":true},["gripper_rate_scale__0p5__r0.json";"gripper_rate_scale__0p5__r1.json";"gripper_rate_scale__0p5__r2.json"],[3.3503107559815932;3.44968418954453],3.3999974727630615,0.019999980926513672,gripper_rate_scale__0p5,3,s2,[0.1047535095836976;0.11572337605294995],0.11023844281832378,0.002207804563907889,[0.9533777384614642;0.9624144485934877],0.957896093527476,0.0018187358914637424,[29.956158280538435;30.401918450825494],30.179038365681965,0.08971406727024613,[5.6389311357359775;7.1540382500468995],6.3964846928914385,0.30493173377824584,0.5
